finger,channel,spearman_k_norm
th,emg_ch1,0.14096323732827395
th,emg_ch2,0.41197146134420776
th,emg_ch3,0.40052584127613666
th,emg_ch4,0.33285994949904263
th,emg_ch5,0.02364458720785799
th,emg_ch6,0.17978904350903185
th,emg_ch7,0.3412685282424835
th,emg_ch8,0.20221579525169742
if,emg_ch1,0.2413877726575484
if,emg_ch2,0.3968086949399398
if,emg_ch3,0.258486369156558
if,emg_ch4,0.3687748008935839
if,emg_ch5,0.004962685218762829
if,emg_ch6,0.16270413485982987
if,emg_ch7,0.38313223555489234
if,emg_ch8,0.08739356786362175
mf,emg_ch1,-0.11376897107349275
mf,emg_ch2,0.14616894042970718
mf,emg_ch3,0.174311634257223
mf,emg_ch4,0.16791568806645496
mf,emg_ch5,0.12877334589460115
mf,emg_ch6,-0.05796549279117911
mf,emg_ch7,0.4066158111713959
mf,emg_ch8,0.2660510419203275
