finger,function,intent,value_norm,value_scaled
th,linear,0.0,0.0,0.017392987775136023
th,linear,0.005025125628140704,0.005025125628140704,0.04179563899318957
th,linear,0.010050251256281407,0.010050251256281407,0.0661982902112431
th,linear,0.01507537688442211,0.01507537688442211,0.09060094142929664
th,linear,0.020100502512562814,0.020100502512562814,0.11500359264735019
th,linear,0.02512562814070352,0.02512562814070352,0.13940624386540373
th,linear,0.03015075376884422,0.03015075376884422,0.16380889508345725
th,linear,0.035175879396984924,0.035175879396984924,0.18821154630151082
th,linear,0.04020100502512563,0.04020100502512563,0.21261419751956434
th,linear,0.04522613065326633,0.04522613065326633,0.2370168487376179
th,linear,0.05025125628140704,0.05025125628140704,0.26141949995567143
th,linear,0.05527638190954774,0.05527638190954774,0.285822151173725
th,linear,0.06030150753768844,0.06030150753768844,0.3102248023917785
th,linear,0.06532663316582915,0.06532663316582915,0.3346274536098321
th,linear,0.07035175879396985,0.07035175879396985,0.3590301048278856
th,linear,0.07537688442211056,0.07537688442211056,0.3834327560459392
th,linear,0.08040201005025126,0.08040201005025126,0.4078354072639927
th,linear,0.08542713567839195,0.08542713567839195,0.4322380584820462
th,linear,0.09045226130653267,0.09045226130653267,0.4566407097000998
th,linear,0.09547738693467336,0.09547738693467336,0.4810433609181533
th,linear,0.10050251256281408,0.10050251256281408,0.5054460121362069
th,linear,0.10552763819095477,0.10552763819095477,0.5298486633542604
th,linear,0.11055276381909548,0.11055276381909548,0.5542513145723139
th,linear,0.11557788944723618,0.11557788944723618,0.5786539657903674
th,linear,0.12060301507537688,0.12060301507537688,0.603056617008421
th,linear,0.12562814070351758,0.12562814070351758,0.6274592682264745
th,linear,0.1306532663316583,0.1306532663316583,0.6518619194445281
th,linear,0.135678391959799,0.135678391959799,0.6762645706625816
th,linear,0.1407035175879397,0.1407035175879397,0.7006672218806351
th,linear,0.1457286432160804,0.1457286432160804,0.7250698730986886
th,linear,0.15075376884422112,0.15075376884422112,0.7494725243167423
th,linear,0.15577889447236182,0.15577889447236182,0.7738751755347958
th,linear,0.16080402010050251,0.16080402010050251,0.7982778267528493
th,linear,0.1658291457286432,0.1658291457286432,0.8226804779709028
th,linear,0.1708542713567839,0.1708542713567839,0.8470831291889563
th,linear,0.17587939698492464,0.17587939698492464,0.87148578040701
th,linear,0.18090452261306533,0.18090452261306533,0.8958884316250635
th,linear,0.18592964824120603,0.18592964824120603,0.920291082843117
th,linear,0.19095477386934673,0.19095477386934673,0.9446937340611705
th,linear,0.19597989949748745,0.19597989949748745,0.9690963852792241
th,linear,0.20100502512562815,0.20100502512562815,0.9934990364972777
th,linear,0.20603015075376885,0.20603015075376885,1.0179016877153313
th,linear,0.21105527638190955,0.21105527638190955,1.0423043389333848
